corsid,state,site_name,site_code,Latitue,,,coordinates_of_sites_dms_lat,Longitude,,,coordinates_of_sites_dms_long,coordinates_of_sites_dms_elp_height,gdc_username,vendor_username
50280A001,Kerla,EZHIMALA,EALA,12,1,54.22301,12 1 54.2230065679807,75,15,24.08374,75 15 24.0837386844786,-48.93382,Kerla & Lakshdweep Wing,Hexagon
50281A001,West Bengal,FALAKATA,FALA,26,30,47.31,26 30 47.3099976878745,89,13,24.12894,89 13 24.1289419880369,12.72706,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50282A001,Uttarpradesh,FARIDPUR,FARI,28,11,56.28401,28 11 56.2840077357825,79,32,36.13875,79 32 36.138746506776,105.8591,Uttar Pradesh Geo-spatial Directorate,Trimble
50283A001,Uttarpradesh,FATEHPUR,FATE,25,55,44.63712,25 55 44.6371249957825,80,48,10.18939,80 48 10.189391656776,53.9074,Uttar Pradesh Geo-spatial Directorate,Trimble
50284A001,Uttarpradesh,FIROZABAD,FIRO,27,7,36.46449,27 7 36.4644909357825,78,27,37.00135,78 27 37.001353226776,106.7347,Uttar Pradesh Geo-spatial Directorate,Trimble
50285A001,Assam,FOTEHPUR,FOTE,27,5,26.79486126,27 5 26.794861255,93,59,33.85588884,93 59 33.855888835,32.373586,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50286A001,Tripura,GANDACHERRA,GANC,23,35,40.05980951,23 35 40.059809512,91,49,27.76681963,91 49 27.766819628,56.469856,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50287A001,Chhattisgarh,GANDAI,GDAI,21,39,12.15991,21 39 12.15991,81,5,34.90982,81 5 34.90982,264.34545,Odisha & Chhattishgarh Geo-spatial Directorate,Trimble
50288A001,Karnataka,GANDASI,GNSI,13,7,46.43029,13 7 46.43029,76,18,21.71529,76 18 21.71529,872.3211,Karnataka Geo-spatial Directorate,Hexagon
50289A001,Gujarat,GANDHINAGAR,GAAR,23,14,24.24071,23 14 24.24071,72,38,8.41722,72 38 8.417217,25.1628,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50290A001,Rajasthan,GANGAPURCITY,GANG,26,30,7.503070097,26 30 7.50307009716689,76,45,21.45951266,76 45 21.4595126642988,208.074542,Rajasthan Geo-spatial Directorate,Trimble
50291A001, Sikkim,GANGTOK,GANG,27,20,53.96942,27 20 53.9694203181827,88,37,3.39295,88 37 3.3929450538849,1760.30208,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50292A001,Madhya Pradesh,GAROTH,GARO,24,20,0.05307,24 20 0.0530733498567652,75,39,12.62178,75 39 12.6217773311569,371.66118,Madhya Pradesh Geo-spatial Directorate,Trimble
50293A001,Odisha,GAUDAGOTHA,GAUD,19,37,24.71483,19 37 24.7148333894519,84,18,4.88312,84 18 4.88312488244371,131.72633,Odisha & Chhattishgarh Geo-spatial Directorate,Hexagon
50294A001,Bihar,GAYA,GAYA,24,47,59.534819,24 47 59.534819001704,85,2,15.423898,85 2 15.4238983582972,54.26493,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50295A001,Chhattisgarh,GEEDAM,GEED,18,58,26.33948,18 58 26.33948,81,24,16.04827,81 24 16.04827,321.00722,Odisha & Chhattishgarh Geo-spatial Directorate,Trimble
50296A001,Maharashtra,GHANSAWALI,GWAL,19,31,25.34037,19 31 25.34037,75,59,51.86638,75 59 51.86638,401.5037,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50297A001,Rajasthan,GHARSANA,GHAR,29,1,27.25149283,29 1 27.25149283,73,5,5.291170183,73 5 5.291170183,104.7893541,Rajasthan Geo-spatial Directorate,Trimble
50298A001,Uttarpradesh,GHAZIPUR,GHAZ,25,34,6.587158,25 34 6.58715833117699,83,33,17.468326,83 33 17.4683262768987,6.524384,Uttar Pradesh Geo-spatial Directorate,Trimble
50299A001,Maharashtra,GHTANJI,GTNJ,20,8,32.432,20 8 32.432,78,19,12.40376,78 19 12.40376,222.5244,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50300A001,Madhya Pradesh,GHUGHRI,GHUG,22,40,55.11318,22 40 55.1131847813384,80,41,18.17323,80 41 18.1732346044205,437.15999,Madhya Pradesh Geo-spatial Directorate,Trimble
50302A001,Jharkhand,GIRDIH,GDIH,24,10,23.1976,24 10 23.1976022027257,86,16,21.25846,86 16 21.2584554431707,214.288,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50303A001,Gujarat,GODHRA,GODH,22,46,56.00045,22 46 56.0004459664166,73,37,31.9635,73 37 31.9635039805987,78.76043,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50304A001,Maharashtra,GODRI JAMNER,GDJM,20,38,18.15673,20 38 18.15673,75,52,52.20722,75 52 52.20722,264.5755,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50305A001,Assam,GOGAMUKH,GOGA,27,24,42.7743822,27 24 42.774382197,94,19,11.03950011,94 19 11.03950011,42.895881,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50306A001,Haryana,GOHNA,GOHN,29,7,43.3774,29 7 43.37739867,76,43,13.7606,76 43 13.76060118,177.4824,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50307A001,Karnataka,GOKAK,GKAK,16,9,22.16772,16 9 22.16772,74,48,55.62856,74 48 55.62856,488.7782,Karnataka Geo-spatial Directorate,Hexagon
50308A001,Assam,GOLAGHAT,GOLG,26,31,38.06368533,26 31 38.063685334,93,58,52.53140126,93 58 52.531401259,44.737058,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50309A001,Assam,GOLAKGANJ,GOLA,26,6,22.70512248,26 6 22.70512248,89,49,58.82936056,89 49 58.829360564,-18.374139,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50310A001,Karnataka,GOLGERI,GGRI,16,48,21.67034,16 48 21.67034,76,21,7.82209,76 21 7.82209,425.4601,Karnataka Geo-spatial Directorate,Hexagon
50311A001,Gujarat,GONDAL,GOAL,21,58,52.74835,21 58 52.7483512,70,47,40.71566,70 47 40.71565734,86.50014,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50312A001,Bihar,GOPALGANJ,GOPA,26,24,17.957171,26 24 17.9571707135686,84,23,5.632472,84 23 5.6324723398043,1.615717,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50313A001,Uttarpradesh,GORAKHPUR,GORA,26,43,45.413815,26 43 45.4138147157067,83,23,30.526077,83 23 30.5260771501289,8.586774,Uttar Pradesh Geo-spatial Directorate,Trimble
50314A001,Haryana,GORIWALA,GORI,29,46,59.565,29 46 59.56500482,74,44,48.62771,74 44 48.6277083,154.0508,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50315A001,Rajasthan,GOTAN,GOTA,26,39,26.24493,26 39 26.244934,73,43,58.35895,73 43 58.358953,277.2444,Rajasthan Geo-spatial Directorate,Trimble
50316A001,Madhya Pradesh,GOTEGAON,GOTE,23,2,11.43898,23 2 11.4389792426556,79,28,56.84973,79 28 56.8497318553605,312.34037,Madhya Pradesh Geo-spatial Directorate,Trimble
50317A001,Rajasthan,GUDA,GUDA,23,50,55.98011102,23 50 55.9801110210786,73,23,35.53155848,73 23 35.5315584794178,346.1565993,Rajasthan Geo-spatial Directorate,Trimble
50318A001,Tamilnadu,GUDALUR,GDLR,11,30,9.84105,11 30 9.84104638414348,76,29,24.86483,76 29 24.8648349221813,869.53446,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50319A001,Karnataka,GUDIBANDE,GBDE,13,40,23.28496,13 40 23.28496,77,42,38.68879,77 42 38.68879,765.8146,Karnataka Geo-spatial Directorate,Hexagon
50321A001,Madhya Pradesh,GULANA,GULA,23,25,19.06349,23 25 19.0634946344234,76,28,11.32889,76 28 11.328891265928,391.56377,Madhya Pradesh Geo-spatial Directorate,Trimble
50322A001,Karnataka,GULBARGA,GBGA,17,17,28.45882,17 17 28.45882,76,45,54.59522,76 45 54.59522,397.7281,Karnataka Geo-spatial Directorate,Hexagon
50323A001,Jharkhand,GUMLA,GUMA,22,59,47.41709,22 59 47.4170886,84,31,37.89017,84 31 37.89016911,605.02906,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50324A001,Tamilnadu,GUMMIDIPOONDI,GUMP,13,25,35.33371,13 25 35.3337080649945,80,6,54.01037,80 6 54.010369672624,-65.25096,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50325A001,Punjab,GURDASPUR,GURD,31,54,26.00523,31 54 26.005228,75,26,22.01662,75 26 22.016618,216.4373,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50326A001,Haryana,GURGAON,GURG,28,27,1.53664,28 27 1.53663752534122,77,1,42.20377,77 1 42.2037715847629,180.2555,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50327A001,Karnataka,GURGUNTA,GNTA,16,17,15.12304,16 17 15.12304,76,38,4.88629,76 38 4.88629,387.3826,Karnataka Geo-spatial Directorate,Hexagon
50328A001,Punjab,GURUHARSAHAI,GURU,30,42,53.67381,30 42 53.673814,74,24,34.91621,74 24 34.916214,151.8311,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50329A001,Assam,GUWAHATI,GUWA,26,10,44.36375813,26 10 44.363758125,91,44,21.46700123,91 44 21.467001229,6.48091,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50330A001,Madhya Pradesh,GWALIOR,GWAL,26,11,32.95343,26 11 32.95343405463,78,12,4.97471,78 12 4.97470752982425,183.64228,Madhya Pradesh Geo-spatial Directorate,Trimble
50331A001,Bihar,GWANAAHA,GWAN,27,17,12.681443,27 17 12.6814433737869,84,31,20.857241,84 31 20.8572410962792,42.073451,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50332A001,Ladakh,GYAL,GYAL,33,38,0.27761,33 38 0.277614317886406,77,44,48.758664,77 44 48.7586635656276,4121.97416,Jammu & Kashmir and Ladakh Geo-spatial Directorate,Hexagon
50333A001,Rajasthan,HADDA,HADD,27,38,21.95055186,27 38 21.9505518577095,72,53,2.738598072,72 53 2.73859807180474,233.1239075,Rajasthan Geo-spatial Directorate,Trimble
50334A001,Karnataka,HAGRIBOMANAHLLI,HLLI,15,1,44.20105,15 1 44.20105,76,11,7.62736,76 11 7.62736,438.017,Karnataka Geo-spatial Directorate,Hexagon
50335A001,Uttarakhand,HALDWANI,HALD,29,12,20.36181,29 12 20.3618119957825,79,31,9.10252,79 31 9.10252327677603,365.8942,Uttarakhand  Geo-spatial Directorate,Trimble
50336A001,Assam,HALOWANC,HALO,26,35,31.01822101,26 35 31.018221006,93,26,22.26285069,93 26 22.262850691,24.801612,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50337A001,Uttarpradesh,HAMIRPUR,HAMI,25,57,31.41024,25 57 31.4102351357825,80,8,52.51903,80 8 52.519026776776,53.5856,Uttar Pradesh Geo-spatial Directorate,Trimble
50338A001,Rajasthan,HANUMANGARH,HANU,29,36,16.37573278,29 36 16.3757327806519,74,16,36.01578508,74 16 36.015785078586,139.7142872,Rajasthan Geo-spatial Directorate,Trimble
50339A001,Ladakh,HANUPATHA,HNPA,34,9,44.5999,34 9 44.5999022177199,76,50,22.74551,76 50 22.7455065290226,3783.40388,Jammu & Kashmir and Ladakh Geo-spatial Directorate,Hexagon
50340A001,Uttarpradesh,HAPUR,HAPU,28,43,9.10135,28 43 9.1013509957825,77,44,38.79964,77 44 38.799643056776,159.8659,Uttar Pradesh Geo-spatial Directorate,Trimble
50341A001,Uttarpradesh,HARAIYYA,HARA,26,47,16.89941,26 47 16.8994123157825,82,28,49.60128,82 28 49.601281276776,26.2968,Uttar Pradesh Geo-spatial Directorate,Trimble
50342A001,Odisha,HARICHANDANPUR,HARI,21,20,9.52999,21 20 9.529990349,85,47,14.50211,85 47 14.50211186,295.21015,Odisha & Chhattishgarh Geo-spatial Directorate,Hexagon
50343A001,Madhya Pradesh,HARRAI,HARR,22,36,39.33703,22 36 39.337028985207,79,13,6.75639,79 13 6.75638749669733,533.14081,Madhya Pradesh Geo-spatial Directorate,Trimble
50345A001,Maharashtra,HATKANGALE KOLHA,HKOL,16,45,0.39788,16 45 0.39788,74,25,16.88562,74 25 16.88562,511.9744,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50346A001,Madhya Pradesh,HATPIPIYA,HATP,22,46,34.67179,22 46 34.6717877138483,76,18,4.46825,76 18 4.46825078282511,464.34994,Madhya Pradesh Geo-spatial Directorate,Trimble
50347A001,Arunanchal Pradesh,HAWAI,HAWA,27,53,8.584237149,27 53 8.584237149,96,49,10.51215178,96 49 10.51215178,1218.337058,Meghalaya and Arunachal Pradesh Geo-spatial Directorate,Trimble
50348A001,Jharkhand,HAZARIBAG,HAAG,23,59,15.93505,23 59 15.93505,85,22,23.86275,85 22 23.86275,554.902,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50349A001,Karnataka,HD KOTE,HDTE,12,4,53.60214,12 4 53.60214,76,20,4.68962,76 20 4.68962,614.5486,Karnataka Geo-spatial Directorate,Hexagon
50350A001,Assam,HELEM,HELE,26,50,25.31730845,26 50 25.317308453,93,28,38.11379799,93 28 38.113797991,30.652304,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50351A001,Gujarat,HIMMATNAGAR,HAGR,23,36,41.27585,23 36 41.27585,72,57,53.19896,72 57 53.19896,91.6256,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50352A001,Punjab,HISAR,HISA,29,8,2.38697,29 8 2.38697369740348,75,42,28.06397,75 42 28.0639721261155,166.254,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50353A001,Tamilnadu,HOSUR,HSUR,12,43,37.72265,12 43 37.7226474281392,77,49,39.50199,77 49 39.5019895629904,819.36665,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50354A001,Karnataka,HULIKUNTE,HNTE,14,8,29.31858,14 8 29.31858,76,43,1.62848,76 43 1.62848,500.5045,Karnataka Geo-spatial Directorate,Hexagon
50355A001,Karnataka,HULIYAR,HLYR,13,35,1.12965,13 35 1.12965,76,32,13.86942,76 32 13.86942,629.0807,Karnataka Geo-spatial Directorate,Hexagon
50356A001,Jharkhand,HUSSAINABAD,HUAD,24,32,30.86225,24 32 30.8622535238931,83,59,42.68083,83 59 42.6808257622047,84.42458,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50357A001,Andaman & Nicobar Islands,HUTBAY,HUTB,10,35,48.89515,10 35 48.895146349392,92,32,13.04138,92 32 13.0413793153665,-53.53131,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50358A001,Madhya Pradesh,HUZURBHOPAL,HUZU,23,15,48.70519,23 15 48.7051904076554,77,22,54.88752,77 22 54.8875210566466,470.96258,Madhya Pradesh Geo-spatial Directorate,Trimble
50359A001,Telangana,HYDERABAD,HYDE,17,24,7.24381,17 24 7.24380722315704,78,33,11.48113,78 33 11.4811333771037,419.56315,AndhraPradesh &Telangana Geo-spatial Directorate,Trimble
50360A001,Manipur,IMPHAL,IMPH,24,48,40.1273118,24 48 40.127311796,93,54,44.40387797,93 54 44.403877968,729.425539,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50361A001,Madhya Pradesh,INDEGARH,INDE,25,54,30.31542,25 54 30.3154152581151,78,33,11.81627,78 33 11.8162733028989,130.1528,Madhya Pradesh Geo-spatial Directorate,Trimble
50362A001,Madhya Pradesh,INDORE,INDO,22,42,28.99065,22 42 28.990645,75,51,16.59677,75 51 16.596771,493.6635,Madhya Pradesh Geo-spatial Directorate,Trimble
50363A001,Gujarat,ITI RAJKPT,ITIR,22,16,46.13793,22 16 46.1379279920575,70,49,48.86221,70 49 48.8622098600676,91.13833,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50364A001,Madhya Pradesh,JABALPUR,JABA,23,11,13.58626,23 11 13.586262151112,79,54,17.3997,79 54 17.3996990957565,333.34698,Madhya Pradesh Geo-spatial Directorate,Trimble
50365A001,Madhya Pradesh,JABERA,JABE,23,33,6.41306,23 33 6.41306408725038,79,41,0.11678,79 41 0.116783033876408,316.61482,Madhya Pradesh Geo-spatial Directorate,Trimble
50366A001,Karnataka,JAGALURU,JLRU,14,30,58.84262,14 30 58.84262,76,20,3.06055,76 20 3.06055,598.0578,Karnataka Geo-spatial Directorate,Hexagon
50367A001,Jharkhand,JAGANATHPUR,JPUR,22,12,31.30238,22 12 31.3023846874122,85,38,29.41127,85 38 29.4112654120379,385.67963,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50368A001,Chhattisgarh,JAGDALPUR,JGDP,19,6,3.75493,19 6 3.75492662220831,81,58,48.36036,81 58 48.360360513241,485.72165,Odisha & Chhattishgarh Geo-spatial Directorate,Trimble
50369A001,Bihar,JAGDISHPUR,JAGD,25,27,15.751017,25 27 15.7510168686448,84,22,41.730671,84 22 41.730670616319,10.328132,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50370A001,Rajasthan,JAIPUR,JAIP,26,57,56.780835,26 57 56.7808349953488,75,47,27.86221888,75 47 27.8622188831734,414.2469321,Rajasthan Geo-spatial Directorate,Trimble
50371A001,Rajasthan,JAISINDHAR,JAIS,25,45,31.67883,25 45 31.678826,70,21,35.22912,70 21 35.229119,45.34,Rajasthan Geo-spatial Directorate,Trimble
50372A001,Madhya Pradesh,JAISINGHNAGAR,JSNG,23,40,42.1211,23 40 42.12110103,81,22,56.3477,81 22 56.34769941,378.89555,Madhya Pradesh Geo-spatial Directorate,Trimble
50373A001,Uttarpradesh,JALALABAD,JALA,27,43,24.28511,27 43 24.2851098557825,79,39,10.33467,79 39 10.334674086776,86.9436,Uttar Pradesh Geo-spatial Directorate,Trimble
50374A001,Punjab,JALANDHAR,JLND,31,25,20.20675,31 25 20.2067488,75,42,16.84945,75 42 16.84945252,197.1246,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50375A001,Maharashtra,JALGAON,JALG,21,0,11.37687,21 0 11.37687,75,32,49.86051,75 32 49.86051,167.3616,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50376A001,Rajasthan,JALORE,JALO,25,20,26.0354,25 20 26.0353985777957,72,38,51.49478,72 38 51.4947812253335,120.2125,Rajasthan Geo-spatial Directorate,Trimble
50377A001,West Bengal,JALPAIGURI,JALP,26,32,7.01526,26 32 7.01526358289953,88,43,14.28416,88 43 14.2841572229466,32.64701,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50378A001,Nagaland,JALUKIE,JALU,25,39,11.98298875,25 39 11.982988745,93,39,53.71111798,93 39 53.711117978,299.397002,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50379A001,Madhya Pradesh,JAMAIJUNARDEV,JAMA,22,11,51.77898,22 11 51.7789842188688,78,35,10.93303,78 35 10.933034666564,706.81365,Madhya Pradesh Geo-spatial Directorate,Trimble
50380A001,Odisha,JAMANKIRA,JAMA,21,32,4.22422,21 32 4.22421628247405,84,24,25.78515,84 24 25.7851455515666,230.33637,Odisha & Chhattishgarh Geo-spatial Directorate,Hexagon
50381A001,Gujarat,JAMBUSAR,JSUR,22,2,56.89249,22 2 56.892490162466,72,47,37.18819,72 47 37.1881868330903,-45.33057,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50382A001,Jammu & Kashmir,JAMMU,JMMU,32,43,25.44433,32 43 25.4443255086613,74,48,58.66161,74 48 58.6616063719795,245.64362,Jammu & Kashmir and Ladakh Geo-spatial Directorate,Hexagon
50383A001,Gujarat,JAMNAGAR,JAMN,22,27,59.91933,22 27 59.9193346796814,70,3,24.42486,70 3 24.4248589683858,-30.78475,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50384A001,Jharkhand,JAMSHEDPUR,JAME,22,45,15.25527,22 45 15.2552665518175,86,11,55.30544,86 11 55.3054424389977,107.40198,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50385A001,Jharkhand,JAMTARA,JARA,23,58,58.75479,23 58 58.75479,86,49,39.92213,86 49 39.92213,114.4209,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50386A001,Bihar,JAMUI,JAMU,24,55,34.69352,24 55 34.6935196741132,86,14,11.548125,86 14 11.5481248533687,21.553081,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50387A001,Chhattisgarh,JANAKPUR,JNKP,23,43,18.08334,23 43 18.0833350910859,81,47,5.68744,81 47 5.68743998569667,393.57747,Odisha & Chhattishgarh Geo-spatial Directorate,Trimble
50388A001,Arunanchal Pradesh,JANG,JANG,27,34,30.23342387,27 34 30.233423867,91,59,15.04227961,91 59 15.042279605,2630.672037,Meghalaya and Arunachal Pradesh Geo-spatial Directorate,Trimble
50389A001,Rajasthan,JASORABAINA,JASO,26,45,50.3923559,26 45 50.3923559,77,24,40.42569551,77 24 40.42569551,169.2022576,Rajasthan Geo-spatial Directorate,Trimble
50390A001,Uttarpradesh,JAUNPUR,JAUN,25,43,37.29585,25 43 37.2958496057825,82,41,47.88907,82 41 47.889073276776,20.7904,Uttar Pradesh Geo-spatial Directorate,Trimble
50391A001,Bihar,JAYNAGAR,JAYN,26,35,45.296509,26 35 45.2965091564708,86,8,9.682083,86 8 9.68208278922396,9.345998,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50392A001,Madhya Pradesh,JEERAPUR,JEER,24,1,11.77608,24 1 11.7760792338953,76,22,33.06302,76 22 33.0630186243086,356.86571,Madhya Pradesh Geo-spatial Directorate,Trimble
50393A001,Madhya Pradesh,JHABUA,JHAB,22,46,0.49741,22 46 0.497406556744758,74,35,51.93927,74 35 51.9392662506927,272.19863,Madhya Pradesh Geo-spatial Directorate,Trimble
50394A001,Haryana,JHAJJAR,JHAJ,28,38,5.77943,28 38 5.77942594,76,38,29.57835,76 38 29.57835067,168.2885,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50395A001,Uttarpradesh,JHANSI,JHAN,25,26,53.72469,25 26 53.7246887457825,78,35,32.38888,78 35 32.388879046776,187.1016,Uttar Pradesh Geo-spatial Directorate,Trimble
50396A001,Rajasthan,JHUNJHUNU,JHUN,28,6,33.24097456,28 6 33.240974563746,75,23,14.3580469,75 23 14.3580468996768,294.6786184,Rajasthan Geo-spatial Directorate,Trimble
50397A001,Haryana,JIND,JIND,29,18,31.05821,29 18 31.05820823,76,20,13.04337,76 20 13.0433657,179.6495,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50398A001,Maharashtra,JINTUR,JINT,19,35,33.20196,19 35 33.20196,76,41,26.35815,76 41 26.35815,376.5411,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50399A001,Assam,JIRIGHAT,JIRI,24,48,33.21756443,24 48 33.217564433,93,6,27.34906061,93 6 27.34906061,-7.419301,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50400A001,Rajasthan,JODHPUR,JODH,26,16,7.975608295,26 16 7.97560829549409,73,0,59.54463668,73 0 59.5446366828779,187.4322431,Rajasthan Geo-spatial Directorate,Trimble
50401A001,Assam,JONAI,JONA,27,49,18.30655887,27 49 18.306558871,95,13,47.94628751,95 13 47.946287509,74.622335,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50402A001,Uttarakhand,JOSHIMATH,JOSH,30,33,19.26848,30 33 19.2684801350081,79,33,29.07129,79 33 29.0712863793012,1906.194,Uttarakhand  Geo-spatial Directorate,Trimble
50403A001,Jharkhand,JUMRI TALAIYA,JUYA,24,26,24.75043,24 26 24.7504250261738,85,32,2.51021,85 32 2.51020862249484,334.25227,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50404A001,Gujarat,KABRADA,KABR,20,20,43.71012,20 20 43.7101228797036,73,12,59.04381,73 12 59.0438096397932,277.39687,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50405A001,Assam,KACHUGAON,KCHU,26,34,2.398713061,26 34 2.398713061,90,4,19.37461052,90 4 19.374610519,14.581335,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50406A001,Odisha,KADALIGARH,KADA,20,57,30.84589,20 57 30.8458925915254,84,18,50.85578,84 18 50.8557838597634,68.41961,Odisha & Chhattishgarh Geo-spatial Directorate,Hexagon
50407A001,Andaman & Nicobar Islands,KADAMTALA,KADM,12,21,11.57281,12 21 11.5728110833236,92,46,22.88877,92 46 22.8887728152178,-49.68823,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50408A001,Tamilnadu,KADAVUR,KDVR,10,42,50.56367,10 42 50.5636715929832,78,14,25.7695,78 14 25.769499998626,101.54321,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50409A001,Karnataka,KADUR,KDUR,13,33,2.81983,13 33 2.81983,76,0,57.55572,76 0 57.55572,681.0277,Karnataka Geo-spatial Directorate,Hexagon
50410A001,Madhya Pradesh,KAILARAS,KAIL,26,18,23.85055,26 18 23.8505470623508,77,37,45.66895,77 37 45.6689521728051,134.66068,Madhya Pradesh Geo-spatial Directorate,Trimble
50411A001, Haryana,KAITHAL,KAIT,29,47,2.65626,29 47 2.65626183368737,76,24,14.74234,76 24 14.7423426250273,189.9533,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50412A001,Maharashtra,KALAMNURI,KNUR,19,40,41.48907,19 40 41.48907,77,18,2.69238,77 18 2.69238,393.138,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50413A001,Tamilnadu,KALASAPAKKAM,KLSP,12,25,57.73194,12 25 57.7319400971229,79,6,11.50411,79 6 11.5041137329391,92.12981,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50414A001,Gujarat,KALAWAD,KAWD,22,13,25.97508,22 13 25.975076,70,22,13.4748,70 22 13.47480175,49.43776,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50415A001,Tamilnadu,KALLAKURICHI,KLKC,11,44,27.87698,11 44 27.8769794757881,78,57,53.47493,78 57 53.4749275655673,52.81592,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50416A001,Kerla,KALLAYI,KAYI,11,43,57.62303,11 43 57.6230284,75,30,25.97206,75 30 25.97206397,-85.16556,Kerla & Lakshdweep Wing,Hexagon
50417A001,Uttarpradesh,KALPI,KALP,26,7,15.11362,26 7 15.1136246957825,79,45,27.2554,79 45 27.255398086776,63.7453,Uttar Pradesh Geo-spatial Directorate,Trimble
50418A001,Maharashtra,KALWAN,KWAN,20,27,43.19095,20 27 43.19095,73,59,58.53695,73 59 58.53695,591.8025,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50419A001,Mizoram,KAMALANAGAR,KAMA,22,37,9.204326646,22 37 9.204326646,92,38,24.93560158,92 38 24.935601578,32.010863,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50420A001,Manipur,KAMJONG,KAMJ,24,51,16.55434106,24 51 16.554341064,94,30,34.30567119,94 30 34.305671194,1615.250706,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50421A001,Maharashtra,KAMLESHWAR,KAML,21,14,26.35206,21 14 26.35206,78,54,11.4783,78 54 11.4783,279.7427,Maharashtra and Goa Geo-spatial Directorate,Hexagon
